,State_En,mean_evi_z_score
0,Northern,0.2346512378181751
1,River Nile,0.060326573996407715
2,Red Sea,-0.20787205491722016
3,Khartoum,-0.3703799778231496
4,Kassala,-0.3273358971159995
5,Aj Jazirah,-0.1379490599140377
6,Gedaref,-0.14688563253775358
7,White Nile,-0.27192745955930664
8,Sennar,-0.08869449160241036
9,Blue Nile,0.05748988204531965
10,North Kordofan,-0.3025049259419866
11,South Kordofan,-0.02401302602793735
12,West Kordofan,-0.07923391944127453
13,Abyei PCA,0.21359480643330397
14,North Darfur,-0.05142216909954738
15,West Darfur,0.27975857921010444
16,Central Darfur,0.09296745984833239
17,South Darfur,0.1059169441090889
18,East Darfur,0.013570087980086912
